FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,75985,27:09.5,,,2200,-73.09,-89.86,-9.19,7.82,237
10000000,75986,27:10.0,,,2200,-78.09,-98.87,-11.29,5.35,237
10000000,75987,27:10.5,,,2200,-78.52,-95.01,-8.73,5.22,237
10000000,75988,27:11.0,,,2200,-74.03,-97.48,-14.15,0.43,237
10000000,75989,27:11.5,,,2200,-83.31,-98.29,-8.86,7.7,237
10000000,75990,27:12.0,,,2200,-74.36,-94.64,-10.88,7.65,237
10000000,75991,27:12.5,,,2200,-84.78,-96.55,-7.38,10.25,237
10000000,75992,27:13.0,,,2200,-79.7,-97.78,-8.94,8.93,242
10000000,75993,27:13.5,,,2200,-79.94,-105.29,-14.32,2.56,237
10000000,75994,27:14.0,,,2200,-78.88,-97.71,-9.99,5.36,237
10000000,75995,27:14.5,,,2200,-78.45,-99.7,-11.34,12.42,237
10000000,75996,27:15.0,,,2200,-80.56,-100.8,-11.91,6.04,237
10000000,75997,27:15.5,,,2200,-80.6,-96.06,-10.45,5.14,242
10000000,75998,27:16.0,,,2200,-73.98,-94.52,-10.02,10.92,242
10000000,75999,27:16.5,,,2200,-74.17,-93.92,-12.05,4.15,237
10000000,76000,27:17.0,,,2200,-76.42,-99.65,-12.49,7.95,242
10000000,76001,27:17.5,,,2200,-77.2,-99.4,-13.44,5.47,242
10000000,76002,27:18.0,,,2200,-79.61,-96.05,-8.94,11.09,242
10000000,76003,27:18.5,,,2200,-79.81,-101.14,-11.23,4.47,242
10000000,76004,27:19.0,,,2200,-83.84,-102.23,-11.29,-0.2,242
10000000,76005,27:19.5,,,2200,-84.5,-100.31,-10.11,4.82,242
10000000,76006,27:20.0,,,2200,-80.36,-98.24,-10.18,10.5,237
10000000,76007,27:20.5,,,2200,-80.18,-104.97,-13.96,3.78,242
10000000,76008,27:21.0,,,2200,-79.21,-100.4,-12.27,3.81,237
10000000,76009,27:21.5,,,2200,-82.49,-100.79,-11.33,2.74,237
10000000,76010,27:22.0,,,2200,-80.82,-101.58,-12.35,3.48,242
10000000,76011,27:22.5,,,2200,-83.51,-102.1,-11.22,4.23,237
10000000,76012,27:23.0,,,2200,-75.59,-96.27,-9.19,10.35,237
10000000,76013,27:23.5,,,2200,-80.08,-99.49,-11.96,2.71,242
10000000,76014,27:24.0,,,2200,-80.92,-100.84,-11.44,4.29,237
10000000,76015,27:24.5,,,2200,-81.98,-99.87,-10.49,5.02,242
10000000,76016,27:25.0,,,2200,-83.3,-95.49,-8.43,8.1,237
10000000,76017,27:25.5,,,2200,-79.01,-99.32,-11.31,4.3,242
10000000,76018,27:26.0,,,2200,-82.6,-100.55,-12.38,3.09,242
10000000,76019,27:26.5,,,2200,-79.45,-98.79,-9.65,10.72,242
10000000,76020,27:27.0,,,2200,-79.32,-105.54,-15.39,-0.12,242
10000000,76021,27:27.5,,,2200,-84.96,-105.2,-14.64,4.61,237
10000000,76022,27:28.0,,,2200,-78.77,-105.97,-17.85,4.03,237
10000000,76023,27:28.5,,,2200,-78.19,-101.56,-13.32,4.09,237
10000000,76024,27:29.0,,,2200,-87.05,-108.91,-12.85,1.27,242
10000000,76025,27:29.5,,,2200,-91.36,-107.42,-11.28,0.97,242
10000000,76026,27:30.0,,,2200,-83.77,-106.75,-12.26,5.4,237
10000000,76027,27:30.5,,,2200,-82.94,-103.61,-11.96,4.56,237
10000000,76028,27:31.0,,,2200,-82.94,-106.94,-14.81,0.02,237
10000000,76029,27:31.5,,,2200,-86.9,-100.69,-9.52,7.64,237
10000000,76030,27:32.0,,,2200,-68.86,-93.91,-11.83,13.28,237
10000000,76031,27:32.5,,,2200,-70.57,-95.15,-13.26,3.58,237
10000000,76032,27:33.0,,,2200,-69.91,-89.53,-12.19,16.04,237
10000000,76033,27:33.5,,,2200,-66.73,-87.99,-11.63,16.81,237
