FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,77334,27:15.2,,,66686,-78.51,-96.54,-11,10.82,237
10000000,77335,27:15.8,,,66686,-75.23,-95.47,-11.37,7.3,242
10000000,77336,27:16.2,,,66686,-77.71,-97.57,-12.7,3.05,242
10000000,77337,27:16.7,,,66686,-80.15,-98.84,-11.07,3.46,242
10000000,77338,27:17.2,,,66686,-79.25,-96.74,-12.39,4.13,242
10000000,77339,27:17.8,,,66686,-81.24,-101.16,-13.44,4.49,242
10000000,77340,27:18.3,,,66686,-84.35,-104.42,-14.53,2.72,237
10000000,77341,27:18.8,,,66686,-85.31,-101.82,-9.89,3.22,237
10000000,77342,27:19.2,,,66686,-85.27,-96.38,-8.85,12.66,237
10000000,77343,27:19.7,,,66686,-81.25,-106.21,-14.95,-0.81,242
10000000,77344,27:20.2,,,66686,-86.14,-103.75,-13.28,5.6,237
10000000,77345,27:20.8,,,66686,-85.16,-103.15,-10.39,7.75,237
10000000,77346,27:21.3,,,66686,-81.64,-100.84,-13.31,1.08,242
10000000,77347,27:21.8,,,66686,-81.55,-106.7,-15.01,2.15,242
10000000,77348,27:22.2,,,66686,-85.69,-102.13,-9.6,3.17,242
10000000,77349,27:22.7,,,66686,-89.65,-108.89,-12.3,1.25,242
10000000,77350,27:23.2,,,66686,-78.7,-96.1,-9.43,10.32,237
10000000,77351,27:23.8,,,66686,-77.14,-95.06,-10.03,6.67,237
10000000,77352,27:24.3,,,66686,-84.38,-103.52,-12.88,2.41,237
10000000,77353,27:24.7,,,66686,-78.71,-98.04,-11.09,5.76,237
10000000,77354,27:25.3,,,66686,-75.47,-96.77,-12.6,3.8,237
10000000,77355,27:25.8,,,66686,-81.67,-102.07,-11.99,3.21,242
10000000,77356,27:26.3,,,66686,-80.04,-99.18,-11.73,5.97,237
10000000,77357,27:26.8,,,66686,-82.61,-100.21,-11.28,8.33,242
10000000,77358,27:27.3,,,66686,-82.31,-97.14,-8.68,7.43,237
10000000,77359,27:27.8,,,66686,-79.61,-103.31,-14.06,1.93,237
10000000,77360,27:28.2,,,66686,-82.6,-103.96,-10.53,2.75,237
10000000,77361,27:28.7,,,66686,-78.73,-108.46,-19.53,4,237
10000000,77362,27:29.3,,,66686,-91.88,-105.7,-11.37,4.16,237
10000000,77363,27:29.8,,,66686,-85.5,-107.23,-12.76,0.02,242
10000000,77364,27:30.2,,,66686,-83.83,-102.09,-11.35,7.05,237
10000000,77365,27:30.7,,,66686,-78.49,-105.81,-16.61,7.24,237
10000000,77366,27:31.2,,,66686,-85.53,-96.86,-10.25,11.28,237
10000000,77367,27:31.8,,,66686,-79.15,-96.38,-10.21,10.65,237
10000000,77368,27:32.3,,,66686,-70.15,-92.27,-12.18,13.57,237
10000000,77369,27:32.7,,,66686,-81.35,-94.05,-7.75,13.4,237
10000000,77370,27:33.2,,,66686,-72.13,-91.32,-9.74,13.47,237
10000000,77371,27:33.7,,,66686,-65.68,-87.1,-12.04,14.17,237
10000000,77372,27:34.3,,,66686,-64.91,-85.22,-11.38,18.16,237
10000000,77373,27:34.8,,,66686,-71.14,-86.63,-8.37,13.39,237
10000000,77374,27:35.2,,,66686,-67.58,-89.08,-11.89,10.5,237
10000000,77375,27:35.7,,,66686,-67.84,-92.45,-15.39,7.07,237
10000000,77376,27:36.3,,,66686,-71.61,-92.29,-9.83,12.57,237
10000000,77377,27:36.8,,,66686,-69.53,-91.07,-11.39,2.84,237
10000000,77378,27:37.2,,,66686,-65.64,-83.78,-10.16,15.42,237
10000000,77379,27:37.7,,,66686,-72.41,-93.31,-11.13,8.28,237
10000000,77380,27:38.2,,,66686,-73.25,-92.78,-10.69,5.97,237
10000000,77381,27:38.7,,,66686,-70.66,-89.77,-11.18,5.59,237
10000000,77382,27:39.3,,,66686,-73.67,-89.41,-10.11,5.9,237
10000000,77383,27:39.8,,,66686,-69.19,-92.08,-12.88,3.25,237
10000000,77384,27:40.2,,,66686,-70.36,-88.61,-10.3,8.6,237
10000000,77385,27:40.7,,,66686,-70.83,-86.66,-8.97,9.88,237
10000000,77386,27:41.2,,,66686,-70.74,-86.67,-9.38,7.49,237
10000000,77387,27:41.8,,,66686,-67.85,-88.8,-11.69,4.72,237
10000000,77388,27:42.3,,,66686,-66.44,-88.45,-12.27,3.13,237
10000000,77389,27:42.8,,,66686,-64.94,-87.71,-12.44,3.01,237
10000000,77390,27:43.2,,,66686,-65.08,-86.55,-12.26,6.59,237
10000000,77391,27:43.7,,,66686,-65.94,-87.59,-12,5.81,237
10000000,77392,27:44.2,,,66686,-65.6,-88.83,-13.31,6.94,237
10000000,77393,27:44.8,,,66686,-64.25,-88.3,-12.66,4.99,237
10000000,77394,27:45.3,,,66686,-64.87,-88.06,-12.83,6.59,237
10000000,77395,27:45.7,,,66686,-65.98,-88.28,-11.37,6.22,237
10000000,77396,27:46.2,,,66686,-66.17,-88.73,-12.65,8.2,237
10000000,77397,27:46.7,,,66686,-65.87,-88.61,-11.7,6.01,237
10000000,77398,27:47.3,,,66686,-67.44,-88.29,-11.17,7.78,237
10000000,77399,27:47.8,,,66686,-65.65,-88.48,-12.48,7.64,237
10000000,77400,27:48.2,,,66686,-67.96,-88.51,-10.84,6.44,237
10000000,77401,27:48.7,,,66686,-67.96,-88.52,-10.53,5,237
10000000,77402,27:49.2,,,66686,-69.76,-88.62,-12.66,4.98,237
10000000,77403,27:49.8,,,66686,-67.32,-89.96,-12.66,4.85,237
10000000,77404,27:50.3,,,66686,-73.67,-90.44,-9.78,3.93,237
10000000,77405,27:50.7,,,66686,-68.43,-89.01,-10.96,5.86,237
10000000,77406,27:51.3,,,66686,-67.58,-88.15,-11.93,4.38,237
10000000,77407,27:51.7,,,66686,-68.56,-87.34,-10.11,6.21,237
10000000,77408,27:52.2,,,66686,-69.38,-87.29,-11.28,6.64,237
10000000,77409,27:52.8,,,66686,-69.77,-87.42,-10.03,6.01,237
10000000,77410,27:53.3,,,66686,-72.14,-88.22,-10.98,5.17,237
10000000,77411,27:53.7,,,66686,-65.51,-84.47,-10.87,13.15,237
10000000,77412,27:54.2,,,66686,-67.9,-85,-8.51,15.01,237
10000000,77413,27:54.7,,,66686,-66.11,-87.1,-10.6,13,237
10000000,77414,27:55.3,,,66686,-71.09,-88.77,-10.57,7.53,237
10000000,77415,27:55.8,,,66686,-74.58,-94.88,-11.44,6.76,237
10000000,77416,27:56.2,,,66686,-69.02,-90.5,-11.23,6.44,237
10000000,77417,27:56.7,,,66686,-71.3,-92.82,-13.32,6.66,237
10000000,77418,27:57.2,,,66686,-72.37,-95.58,-13.88,3.38,237
10000000,77419,27:57.8,,,66686,-68.32,-86.01,-9.56,14.69,237
10000000,77420,27:58.3,,,66686,-70.12,-92.63,-12.49,5.56,237
10000000,77421,27:58.7,,,66686,-74.35,-97.65,-13.97,2.38,237
10000000,77422,27:59.3,,,66686,-70.35,-88.65,-8.16,13.43,237
10000000,77423,27:59.7,,,66686,-64.49,-83.4,-10.45,20.5,237
10000000,77424,28:00.2,,,66686,-65.5,-86.55,-11.55,15.3,237
10000000,77425,28:00.8,,,66686,-67.09,-87.76,-9.35,14.52,237
10000000,77426,28:01.2,,,66686,-69.31,-91.02,-13.25,10.55,237
10000000,77427,28:01.7,,,66686,-66.35,-88.09,-12.73,12.67,237
10000000,77428,28:02.2,,,66686,-63.99,-84.86,-11.36,11.57,237
10000000,77429,28:02.8,,,66686,-69.39,-89.02,-10.27,7.93,237
10000000,77430,28:03.2,,,66686,-56.01,-77.6,-11.04,26.46,237
10000000,77431,28:03.8,,,66686,-60.14,-80.74,-10.21,20.4,237
10000000,77432,28:04.3,,,66686,-63.9,-83.97,-10.26,10.21,237
10000000,77433,28:04.8,,,66686,-67,-80.21,-8.81,17.49,237
10000000,77434,28:05.2,,,66686,-56.48,-76.73,-11.03,18.01,237
10000000,77435,28:05.7,,,66686,-55.16,-79.86,-15.42,13.37,237
10000000,77436,28:06.2,,,66686,-60.38,-79.9,-10.27,12.24,237
10000000,77437,28:06.8,,,66686,-59.09,-77.93,-10.24,20.26,237
10000000,77438,28:07.3,,,66686,-56.68,-79.09,-13.94,17.24,237
10000000,77439,28:07.7,,,66686,-59.15,-80.32,-10.14,16.82,237
10000000,77440,28:08.2,,,66686,-59.59,-81.35,-11.7,17.26,237
10000000,77441,28:08.8,,,66686,-62.32,-83.67,-11.13,16.78,237
10000000,77442,28:09.3,,,66686,-65.59,-83.27,-11.6,14.95,237
10000000,77443,28:09.8,,,66686,-70.14,-82.88,-10.04,15.25,237
10000000,77444,28:10.2,,,66686,-67.19,-83.64,-7.49,15.43,237
10000000,77445,28:10.8,,,66686,-63.04,-84.11,-11.51,16.19,237
10000000,77446,28:11.3,,,66686,-62.99,-83.09,-11.4,15.79,237
10000000,77447,28:11.7,,,66686,-57.13,-80.5,-11.42,18.81,237
10000000,77448,28:12.2,,,66686,-67.15,-84.24,-8.87,10.46,237
